"Alert Name","Condition","Violation","Severity","Occurrence Time","Resource","Internal Resource","Alert Source"
"Write Response Time",">= 1 ms/op","1.12 ms/op","Warning","May 9, 2020, 06:42:22","CH-IBM.2107-75KBD21","FB_pool_0","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.14 ms/op","Warning","May 9, 2020, 06:42:22","CH-IBM.2107-75KBD21","FB_pool_1","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.14 ms/op","Warning","May 9, 2020, 06:59:22","CH-IBM.2107-75KBD21","FB_pool_1","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.48 ms/op","Warning","May 9, 2020, 07:13:22","CH-IBM.2107-75KBD21","FB_pool_1","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.45 ms/op","Warning","May 9, 2020, 07:17:24","CH-IBM.2107-75KBD21","FB_pool_0","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.03 ms/op","Warning","May 9, 2020, 07:24:24","CH-IBM.2107-75KBD21","FB_pool_1","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.81 ms/op","Warning","May 9, 2020, 07:35:23","CH-IBM.2107-75KBD21","FB_pool_1","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.88 ms/op","Warning","May 9, 2020, 07:35:23","CH-IBM.2107-75KBD21","FB_pool_0","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.72 ms/op","Warning","May 9, 2020, 07:46:22","CH-IBM.2107-75KBD21","FB_pool_1","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.32 ms/op","Warning","May 9, 2020, 07:52:24","CH-IBM.2107-75KBD21","FB_pool_0","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.05 ms/op","Warning","May 9, 2020, 09:25:22","CH-IBM.2107-75KBD21","FB_pool_0","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.15 ms/op","Warning","May 9, 2020, 09:25:22","CH-IBM.2107-75KBD21","FB_pool_1","CH-IBM.2107-75KBD21"
"Write Response Time",">= 1 ms/op","1.17 ms/op","Warning","May 9, 2020, 10:20:22","CH-IBM.2107-75KBD21","FB_pool_1","CH-IBM.2107-75KBD21"
