|        Name |  Status |    Type |                                                                              WWN |                             IO_Ports |

+-------------+---------+---------+----------------------------------------------------------------------------------+--------------------------------------+

|  as04_vios3 |  online | pSeries |                                         ['21000024FF79ECC4', '21000024FF79ED98'] |                   ['I0232', 'I0302'] |

|  as04_vios4 |  online | pSeries |                                         ['21000024FF792830', '21000024FF779904'] |                   ['I0301', 'I0231'] |

|    czas0016 |  online | iSeries | ['10000000C9BA965E', '10000000C9BA965F', '10000090FA7BAA6B', '10000090FA7BAA6A'] | ['I0331', 'I0311', 'I0211', 'I0201'] |

| czas0016_I3 |  online | iSeries |                                         ['10000000C9BA9B4C', '10000000C9BA8544'] |                   ['I0200', 'I0330'] |

| czas0016_i1 |  online | iSeries |                                         ['10000000C9BA9B4B', '10000000C9BA9B71'] |                   ['I0340', 'I0240'] |

| czas0016_i2 |  online | iSeries |                                         ['10000000C9BA9B70', '10000000C9BA9B4A'] |                   ['I0001', 'I0131'] |

| czas0016_i4 |  online | iSeries |                                         ['10000000C9BA9B4D', '10000000C9BA8545'] |                   ['I0241', 'I0341'] |

|    czas0017 |  online | iSeries | ['C050760926DE0015', 'C050760926DE0014', 'C050760926DE0013', 'C050760926DE0012'] |                   ['I0341', 'I0241'] |

| czas0017_i1 |  online | iSeries | ['C050760926DE0019', 'C050760926DE0018', 'C050760926DE0017', 'C050760926DE0016'] |                   ['I0340', 'I0240'] |

|    czas0019 |  online | iSeries |                                         ['C050760409810012', 'C050760409810010'] |                   ['I0101', 'I0031'] |

| czas0019_i1 |  online | iSeries |                                         ['C050760409810016', 'C050760409810014'] |                   ['I0102', 'I0032'] |

|    czas0020 |  online | iSeries |                                         ['C050760409810064', 'C050760409810062'] |                   ['I0131', 'I0001'] |

| czas0020_i1 |  online | iSeries |                                         ['C05076040981006A', 'C050760409810068'] |                   ['I0340', 'I0240'] |

| czas0020_i2 |  online | iSeries |                                         ['C050760409810060', 'C05076040981005E'] |                   ['I0341', 'I0241'] |

|    czas0021 |  online | iSeries |                                         ['C050760409810054', 'C050760409810056'] |                   ['I0341', 'I0241'] |

| czas0021_i1 |  online | iSeries |                                         ['C05076040981005A', 'C05076040981005C'] |                   ['I0340', 'I0240'] |

|    czas0022 |  online | iSeries |                                         ['C050760409810026', 'C05076040981002A'] |                   ['I0031', 'I0101'] |

| czas0022_i1 |  online | iSeries |                                         ['C050760409810028', 'C05076040981002E'] |                   ['I0233', 'I0303'] |

|    czas0025 |  online | iSeries | ['C050760926DE006B', 'C050760926DE006D', 'C050760926DE006A', 'C050760926DE006C'] |                   ['I0131', 'I0001'] |

| czas0025_i1 |  online | iSeries | ['C050760926DE0073', 'C050760926DE0072', 'C050760926DE0071', 'C050760926DE0070'] |                   ['I0330', 'I0200'] |

| czas0025_i2 |  online | iSeries | ['C050760926DE0077', 'C050760926DE0076', 'C050760926DE0075', 'C050760926DE0074'] |                   ['I0311', 'I0211'] |

| czas0025_i3 |  online | iSeries | ['C050760926DE007B', 'C050760926DE007A', 'C050760926DE0079', 'C050760926DE0078'] |                   ['I0331', 'I0201'] |

